SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-3-2018,Single Family Residential,21719 8th Ave SE,Bothell,WA,98021,690000,5,2.75,Canyon Park,2660,10454,2012,21,259,21,Sold,,,http://www.redfin.com/WA/Bothell/21719-8th-Ave-SE-98021/home/45390731,NWMLS,1222478,N,Y,47.8005574,-122.2230238
PAST SALE,,Condo/Co-op,19628 1st Ave SE #13,Bothell,WA,98012,517501,3,2.5,,1750,,2012,,296,,,,,http://www.redfin.com/WA/Bothell/19628-1st-Ave-SE-98012/unit-13/home/45390976,,,N,Y,47.8194986,-122.231468
PAST SALE,December-29-2017,Single Family Residential,4101 223rd Place SE #13,Bothell,WA,98021,753365,5,2.75,Bothell,2474,3573,2017,26,305,55,Sold,,,http://www.redfin.com/WA/Bothell/4014-223rd-Pl-SE-98021/home/143119827,NWMLS,1174058,N,Y,47.7950392,-122.1792767
PAST SALE,December-27-2017,Single Family Residential,35 242nd ( #20) St SE,Bothell,WA,98021,1209681,5,3.25,Canyon Park,4110,9600,2017,28,294,92,Sold,,,http://www.redfin.com/WA/Bothell/35-242nd-St-SE-98021/home/144118208,NWMLS,1210001,N,Y,47.77908,-122.231644
PAST SALE,December-29-2017,Single Family Residential,21800 33rd Dr SE #1,Bothell,WA,98021,1129900,4,3.25,Canyon Park,3777,10160,2017,26,299,80,Sold,,,http://www.redfin.com/WA/Bothell/21800-33rd-Dr-SE-98021/home/139723421,NWMLS,1155899,N,Y,47.7999087,-122.1887482
PAST SALE,,Single Family Residential,4133 228th St SE,Bothell,WA,98021,767575,3,3,,1688,57064,1994,,455,,,,,http://www.redfin.com/WA/Bothell/4133-228th-St-SE-98021/home/2600694,,,N,Y,47.7913531,-122.1773448
PAST SALE,December-28-2017,Single Family Residential,22421 53rd Ave,Bothell,WA,98021,760000,3,2.5,Canyon Park,1800,33977,1978,27,422,,Sold,,,http://www.redfin.com/WA/Bothell/22421-53rd-Ave-SE-98021/home/2595365,NWMLS,1226770,N,Y,47.7935696,-122.1605665
PAST SALE,,Single Family Residential,21017 9th Ave SE,Bothell,WA,98021,490000,3,2,,1631,22216,1985,,300,,,,,http://www.redfin.com/WA/Bothell/21017-9th-Ave-SE-98021/home/2648416,,,N,Y,47.8071351,-122.2201107
PAST SALE,,Single Family Residential,23017 Locust Way,Bothell,WA,98021,450000,2,1,,1282,17860,1942,,351,,,,,http://www.redfin.com/WA/Bothell/23017-Locust-Way-98021/home/2654938,,,N,Y,47.7893113,-122.2557198
PAST SALE,November-30-2017,Single Family Residential,4221 180th Place SE,Bothell,WA,98012,731500,5,2.75,North Creek,2795,6892,2013,55,262,50,Sold,,,http://www.redfin.com/WA/Bothell/4221-180th-Pl-SE-98012/home/54808852,NWMLS,1213698,N,Y,47.8342224,-122.1756182
PAST SALE,November-15-2017,Condo/Co-op,18930 Bothell Everett Hwy Unit F205,Bothell,WA,98012,225000,2,1,Bothell,887,,1998,70,254,354,Sold,,,http://www.redfin.com/WA/Bothell/18930-Bothell-Everett-Hwy-98012/unit-F205/home/12176171,NWMLS,1199778,N,Y,47.8248136,-122.2090604
PAST SALE,October-26-2017,Single Family Residential,10017 NE 202nd St,Bothell,WA,98011,700000,4,2.25,Bothell,2230,9600,1978,90,314,,Sold,,,http://www.redfin.com/WA/Bothell/10017-NE-202nd-St-98011/home/286554,NWMLS,1192388,N,Y,47.7748588,-122.206327
PAST SALE,,Condo/Co-op,10822 E Riverside Dr #101,Bothell,WA,98011,158500,1,1,,573,,1985,,277,,,,,http://www.redfin.com/WA/Bothell/10822-E-Riverside-Dr-98011/unit-101/home/2660,,,N,Y,47.754325,-122.195317
PAST SALE,October-31-2017,Mobile/Manufactured Home,18812 127th Place NE,Bothell,WA,98011,355000,3,2,Holly Hills,1650,5319,2006,85,215,30,Sold,,,http://www.redfin.com/WA/Bothell/18812-127th-Pl-NE-98011/home/54474042,NWMLS,1201886,N,Y,47.7640118,-122.1697398
PAST SALE,November-1-2017,Single Family Residential,19619 109th PLACE NE,Bothell,WA,98011,895000,3,2.5,Maywood Hills,2730,7521,1992,84,328,34,Sold,,,http://www.redfin.com/WA/Bothell/19619-109th-Pl-NE-98011/home/285952,NWMLS,1195672,N,Y,47.7703755,-122.1955645
PAST SALE,October-31-2017,Single Family Residential,19904 104th Ave NE,Bothell,WA,98011,620000,3,2.25,Maywood Hills,1912,8490,1982,85,324,,Sold,,,http://www.redfin.com/WA/Bothell/19904-104th-Ave-NE-98011/home/286684,NWMLS,1203061,N,Y,47.772891,-122.2007992
PAST SALE,November-3-2017,Mobile/Manufactured Home,19011 126th Ave NE,Bothell,WA,98011,165000,2,2,Holly Hills,1440,5102,1973,82,115,25,Sold,,,http://www.redfin.com/WA/Bothell/19011-126th-Ave-NE-98011/home/59704930,NWMLS,1193713,N,Y,47.7648957,-122.1733545
PAST SALE,November-3-2017,Single Family Residential,10316 NE 202nd St,Bothell,WA,98011,519000,3,2.5,Bothell,1750,8400,1975,82,297,,Sold,,,http://www.redfin.com/WA/Bothell/10316-NE-202nd-St-98011/home/286080,NWMLS,1188715,N,Y,47.7749637,-122.202584
PAST SALE,October-31-2017,Single Family Residential,1210 204th Place SE,Bothell,WA,98012,430000,3,2.25,Thrashers Corner,1776,7405,1977,85,242,,Sold,,,http://www.redfin.com/WA/Bothell/1210-204th-Pl-SE-98012/home/2776474,NWMLS,1192845,N,Y,47.8124776,-122.2160011
PAST SALE,,Single Family Residential,21308 2nd Ave SE,Bothell,WA,98021,322000,3,3,,2110,7405,1977,,153,,,,,http://www.redfin.com/WA/Bothell/21308-2nd-Ave-SE-98021/home/2773653,,,N,Y,47.8047629,-122.2293623
PAST SALE,October-27-2017,Single Family Residential,6 199th Place SE,Bothell,WA,98012,422000,3,2,Bothell,1330,9583,1987,89,317,,Sold,,,http://www.redfin.com/WA/Bothell/6-199th-Pl-SE-98012/home/2813416,NWMLS,1192947,N,Y,47.8160022,-122.2317241
PAST SALE,October-30-2017,Single Family Residential,19514 Winesap Lane,Bothell,WA,98012,387410,3,1,Mill Creek,1524,13504,1961,86,254,,Sold,,,http://www.redfin.com/WA/Bothell/19514-Winesap-Ln-98012/home/2656876,NWMLS,1184369,N,Y,47.820504,-122.2246493
PAST SALE,October-27-2017,Single Family Residential,22606 13th Place W,Bothell,WA,98021,500000,3,2,Bothell,1282,6970,1983,89,390,,Sold,,,http://www.redfin.com/WA/Bothell/22606-13th-Pl-W-98021/home/2802850,NWMLS,1202028,N,Y,47.7932346,-122.2512877
PAST SALE,October-31-2017,Townhouse,18722 20th Dr SE,Bothell,WA,98012,425000,3,2.25,Bothell,1638,3485,1996,85,259,76,Sold,,,http://www.redfin.com/WA/Bothell/18722-20th-Dr-SE-98012/home/2854002,NWMLS,1203458,N,Y,47.827115,-122.204819
PAST SALE,October-31-2017,Single Family Residential,4002 217th St SE,Bothell,WA,98021,800000,4,2.5,Canyon Park,2984,6970,2006,85,268,45,Sold,,,http://www.redfin.com/WA/Bothell/4002-217th-St-SE-98021/home/11881323,NWMLS,1200719,N,Y,47.8006155,-122.1793397
PAST SALE,,Condo/Co-op,19305 25th Dr SE #109,Bothell,WA,98012,560000,4,2.5,,1947,,2004,,288,,,,,http://www.redfin.com/WA/Bothell/19305-25th-Dr-SE-98012/unit-109/home/2909222,,,N,Y,47.822672,-122.1981368
PAST SALE,October-27-2017,Single Family Residential,20024 York Rd,Bothell,WA,98012,575000,4,1.75,North Creek,1640,43560,1987,89,351,,Sold,,,http://www.redfin.com/WA/Bothell/20024-York-Rd-98012/home/2565760,NWMLS,1184309,N,Y,47.8154556,-122.1842313
PAST SALE,October-27-2017,Townhouse,416 228th St SW Unit G-202,Bothell,WA,98021,345000,2,1.75,Canyon Park,1134,,1997,89,304,374,Sold,,,http://www.redfin.com/WA/Bothell/416-228th-St-SW-98021/unit-G202/home/2854563,NWMLS,1199848,N,Y,47.7908515,-122.2397598
PAST SALE,,Single Family Residential,23220 20th Ave SE,Bothell,WA,98021,525000,3,2,,1547,7841,1987,,339,,,,,http://www.redfin.com/WA/Bothell/23220-20th-Ave-SE-98021/home/2803622,,,N,Y,47.786858,-122.206418
PAST SALE,,Single Family Residential,22122 45th Ave SE,Bothell,WA,98021,620000,3,1.5,,1632,19166,1972,,380,,,,,http://www.redfin.com/WA/Bothell/22122-45th-Ave-SE-98021/home/2600897,,,N,Y,47.796447,-122.173381
PAST SALE,,Single Family Residential,22118 45th Ave SE,Bothell,WA,98021,760000,3,2.5,,2051,24394,1977,,371,,,,,http://www.redfin.com/WA/Bothell/22118-45th-Ave-SE-98021/home/2600753,,,N,Y,47.7965361,-122.1734053
PAST SALE,,Single Family Residential,23208 45th Ave SE,Bothell,WA,98021,890889,3,2.5,,2173,44431,1984,,410,,,,,http://www.redfin.com/WA/Bothell/23208-45th-Ave-SE-98021/home/2629039,,,N,Y,47.787032,-122.173622
PAST SALE,October-31-2017,Single Family Residential,725 226th St SE,Bothell,WA,98021,765000,4,2.5,Canyon Park,2841,9583,1988,85,269,,Sold,,,http://www.redfin.com/WA/Bothell/725-226th-St-SE-98021/home/2813393,NWMLS,1193636,N,Y,47.7933098,-122.2224388
PAST SALE,,Single Family Residential,525 240th St SW,Bothell,WA,98021,500000,3,1.5,,1750,11761,1957,,286,,,,,http://www.redfin.com/WA/Bothell/525-240th-St-SW-98021/home/2745227,,,N,Y,47.7808016,-122.2404218
PAST SALE,October-31-2017,Condo/Co-op,2000 192nd St SE #105,Bothell,WA,98012,195000,2,1.75,North Bothell,1404,2178,1985,85,139,100,Sold,,,http://www.redfin.com/WA/Bothell/2000-192nd-St-SE-98012/unit-105/home/2794258,NWMLS,1193107,N,Y,47.823132,-122.204956
PAST SALE,,Single Family Residential,22120 45th Ave SE,Bothell,WA,98021,610000,2,1.5,,1178,22651,1972,,518,,,,,http://www.redfin.com/WA/Bothell/22120-45th-Ave-SE-98021/home/2600900,,,N,Y,47.7965056,-122.1739655
PAST SALE,October-30-2017,Single Family Residential,22814 Atlas Rd,Bothell,WA,98021,475000,4,2.75,Brier,2484,9148,1964,86,191,,Sold,,,http://www.redfin.com/WA/Bothell/22814-Atlas-Rd-98021/home/2658155,NWMLS,1192013,N,Y,47.7914402,-122.2640389
PAST SALE,October-26-2017,Single Family Residential,2720 232nd St SE,Bothell,WA,98021,622000,4,2.5,Canyon Park,2066,3868,2006,90,301,34,Sold,,,http://www.redfin.com/WA/Bothell/2720-232nd-St-SE-98021/unit-44/home/2916958,NWMLS,1190045,N,Y,47.7872386,-122.1954379
PAST SALE,January-19-2018,Single Family Residential,18319 3rd Dr SE Unit NC 24,Bothell,WA,98012,672634,4,3.25,North Creek,2734,4539,2016,5,246,20,Sold,,,http://www.redfin.com/WA/Bothell/18319-3rd-Dr-SE-98012/unit-NC-24/home/144623912,NWMLS,1229743,N,Y,47.8317066,-122.2270597
PAST SALE,January-12-2018,Single Family Residential,4129 Jewell Rd,Bothell,WA,98012,459450,3,2,North Creek,1355,8712,1977,12,339,,Sold,,,http://www.redfin.com/WA/Bothell/4129-Jewell-Rd-98012/home/2533770,NWMLS,1223010,N,Y,47.820447,-122.1765358
PAST SALE,November-9-2017,Condo/Co-op,17438 Bothell Wy NE Unit C-303,Bothell,WA,98011,395000,2,1.75,Bothell,1050,,2001,76,376,293,Sold,,,http://www.redfin.com/WA/Bothell/17438-Bothell-Way-NE-98011/unit-C303/home/51603,NWMLS,1204347,N,Y,47.7513761,-122.2117573
PAST SALE,October-27-2017,Single Family Residential,4318 lot 49 224TH ST SE,Bothell,WA,98021,706905,4,2.75,Canyon Park,2518,3580,2017,89,281,102,Sold,,,http://www.redfin.com/WA/Bothell/49-224th-St-SE-98021/home/111247967,NWMLS,1056272,N,Y,47.7949544,-122.2327104
PAST SALE,November-17-2017,Condo/Co-op,10822 E Riverside Dr Unit A103,Bothell,WA,98011,190000,2,1,Bothell,777,,1985,68,245,340,Sold,,,http://www.redfin.com/WA/Bothell/10822-E-Riverside-Dr-98011/unit-A103/home/30264,NWMLS,1179778,N,Y,47.754325,-122.195317
PAST SALE,January-12-2018,Mobile/Manufactured Home,19401 127th Ave NE,Bothell,WA,98011,360000,3,1.75,Holly Hills,1950,5681,1978,12,185,,Sold,,,http://www.redfin.com/WA/Bothell/19401-127th-Ave-NE-98011/home/59705070,NWMLS,1216426,N,Y,47.7684996,-122.1722991
PAST SALE,January-12-2018,Single Family Residential,20205 103rd Place NE,Bothell,WA,98011,650000,3,2.5,Maywood Hills,2220,9300,1973,12,293,,Sold,,,http://www.redfin.com/WA/Bothell/20205-103rd-Pl-NE-98011/home/286302,NWMLS,1212543,N,Y,47.7752786,-122.2037916
PAST SALE,January-11-2018,Single Family Residential,19225 4th Dr SE,Bothell,WA,98012,570000,3,2.75,Thrashers Corner,2744,9148,1969,13,208,,Sold,,,http://www.redfin.com/WA/Bothell/19225-4th-Dr-SE-98012/home/2749967,NWMLS,1204211,N,Y,47.82329,-122.225212
PAST SALE,January-10-2018,Single Family Residential,19607 37th Dr SE,Bothell,WA,98012,741000,4,2.5,Bothell,2395,4108,2014,14,309,85,Sold,,,http://www.redfin.com/WA/Bothell/19607-37th-Dr-SE-98012/home/54582970,NWMLS,1223106,N,Y,47.8196294,-122.1821386
PAST SALE,January-10-2018,Condo/Co-op,17812 36th Ave SE #3021,Bothell,WA,98012,701000,4,2.5,Bothell,2384,2799,2015,14,294,57,Sold,,,http://www.redfin.com/WA/Bothell/17812-36th-Ave-SE-98012/unit-3021/home/59706591,NWMLS,1223027,N,Y,47.8360891,-122.1846797
PAST SALE,January-10-2018,Single Family Residential,4515 224th St SE,Bothell,WA,98021,638500,3,2.25,North Bothell,2190,15682,1976,14,292,,Sold,,,http://www.redfin.com/WA/Bothell/4515-224th-St-SE-98021/home/2600778,NWMLS,1211135,N,Y,47.794833,-122.1722782
PAST SALE,January-11-2018,Mobile/Manufactured Home,3412 206th Place SE,Bothell,WA,98012,190000,2,1.75,Bothell,1440,6098,1971,13,132,150,Sold,,,http://www.redfin.com/WA/Bothell/3412-206th-Pl-SE-98012/home/2660877,NWMLS,1222212,N,Y,47.8103345,-122.1871761
PAST SALE,January-5-2018,Single Family Residential,112 175th Place SE,Bothell,WA,98012,745935,5,2.75,Bothell,2979,5469,2017,19,250,81,Sold,,,http://www.redfin.com/WA/Bothell/112-175th-Pl-SE-98012/home/143994850,NWMLS,1203299,N,Y,47.8385821,-122.2320209
PAST SALE,December-29-2017,Condo/Co-op,127 194th Place SW #17,Bothell,WA,98012,691995,4,2.5,Bothell,2346,3400,2017,26,295,68,Sold,,,http://www.redfin.com/WA/Bothell/127-194th-St-SW-98012/home/144442456,NWMLS,1223725,N,Y,47.8222472,-122.2355591
PAST SALE,December-29-2017,Single Family Residential,22418 Lot 1 43rd DR SE,Bothell,WA,98021,792725,3,2.5,Canyon Park,2518,3814,2017,26,315,102,Sold,,,http://www.redfin.com/WA/Bothell/22418-43rd-Dr-SE-98021/home/113885604,NWMLS,1129236,N,Y,47.793481,-122.1751093
PAST SALE,December-30-2017,Single Family Residential,22425 lot 52 43rd DR SE,Bothell,WA,98021,747426,4,3,Canyon Park,2256,3832,2017,25,331,102,Sold,,,http://www.redfin.com/WA/Bothell/22425-43rd-Dr-SE-98021/home/113983446,NWMLS,1129223,N,Y,47.793481,-122.1751093
PAST SALE,December-15-2017,Mobile/Manufactured Home,24121 10th Place W,Bothell,WA,98021,399000,2,1.75,Wandering Creek,1302,6098,1988,40,306,115,Sold,,,http://www.redfin.com/WA/Bothell/24121-10th-Pl-W-98021/home/2798488,NWMLS,1213835,N,Y,47.7791926,-122.2467101
PAST SALE,December-15-2017,Single Family Residential,4312 Lot 60 224TH Pl SE,Bothell,WA,98021,670000,3,2.5,Canyon Park,1778,3425,2017,40,377,102,Sold,,,http://www.redfin.com/WA/Bothell/60-224th-St-SE-98021/home/143180965,NWMLS,1175474,N,Y,47.7947513,-122.2320567
PAST SALE,December-8-2017,Single Family Residential,4321 Lot 55 224TH PL SE,Bothell,WA,98021,700714,4,3,Canyon Park,2256,3600,2017,47,311,102,Sold,,,http://www.redfin.com/WA/Bothell/55-224th-St-SE-98021/home/113896259,NWMLS,1122259,N,Y,47.7949533,-122.2326196
PAST SALE,December-7-2017,Single Family Residential,4413 231st Place SE,Bothell,WA,98021,821517,4,2.5,Bothell,2566,4000,2017,48,320,80,Sold,,,http://www.redfin.com/WA/Bothell/4413-231-Pl-SE-98021/home/114027973,NWMLS,1133257,N,Y,47.7883677,-122.1845996
PAST SALE,December-29-2017,Single Family Residential,20409 123rd Ave NE,Bothell,WA,98011,678000,4,2.5,Bothell,2400,3600,2007,26,283,37,Sold,,,http://www.redfin.com/WA/Bothell/20409-123rd-Ave-NE-98011/unit-36/home/12092746,NWMLS,1214884,N,Y,47.7757281,-122.176715
PAST SALE,November-9-2017,Single Family Residential,21319 11th Dr SE,Bothell,WA,98021,434850,3,2.25,Canyon Park,1580,8276,2006,76,275,160,Sold,,,http://www.redfin.com/WA/Bothell/21319-11th-Dr-SE-98021/home/11885330,NWMLS,1187488,N,Y,47.804759,-122.21755
PAST SALE,January-19-2018,Townhouse,18910 Bothell-Everett Hwy Unit M1,Bothell,WA,98012,275500,3,2.5,North Creek,1107,,1988,5,249,442,Sold,,,http://www.redfin.com/WA/Bothell/18910-Bothell-Everett-Hwy-98012/unit-M1/home/2826851,NWMLS,1218285,N,Y,47.8260994,-122.2085374
PAST SALE,December-15-2017,Single Family Residential,108 175th Place SE,Bothell,WA,98012,731695,5,2.75,Bothell,2723,4660,2017,40,269,81,Sold,,,http://www.redfin.com/WA/Bothell/108-175th-Pl-SE-98012/home/143994851,NWMLS,1203288,N,Y,47.8385821,-122.2320209
PAST SALE,November-28-2017,Single Family Residential,18719 43rd. Park SE,Bothell,WA,98012,634562,4,2.25,North Creek,2186,3100,2017,57,290,85,Sold,,,http://www.redfin.com/WA/Bothell/18719-43rd-Park-SE-98012/home/113439549,NWMLS,1092130,N,Y,47.8273629,-122.1745641
PAST SALE,November-22-2017,Single Family Residential,5 175th Place SE,Bothell,WA,98012,679990,4,3,Bothell,2809,4452,2017,63,242,,Sold,,,http://www.redfin.com/WA/Bothell/5-175th-Pl-SE-98012/home/113752148,NWMLS,1102578,N,Y,47.8385794,-122.232484
PAST SALE,November-30-2017,Single Family Residential,9 175th Place SE,Bothell,WA,98012,729990,4,3.5,Bothell,3301,4350,2017,55,221,,Sold,,,http://www.redfin.com/WA/Bothell/9-175th-Pl-SE-98012/home/113752109,NWMLS,1102576,N,Y,47.838773,-122.2324874
PAST SALE,,Vacant Land,20216 85th Pl NE,Bothell,WA,98011,1039000,4,4,,3370,8101,2017,,308,,,,,http://www.redfin.com/WA/Bothell/20216-85th-Pl-NE-98011/home/113996664,,,N,Y,47.7747724,-122.2258112
PAST SALE,January-18-2018,Single Family Residential,20210 85th Place NE,Bothell,WA,98011,1025000,4,4,North Bothell,3316,7266,2018,6,309,50,Sold,,,http://www.redfin.com/WA/Bothell/20210-85th-Pl-NE-98011/home/113996663,NWMLS,1233012,N,Y,47.774589,-122.2257067
PAST SALE,November-16-2017,Single Family Residential,212 239th (Lot 9) St SE,Bothell,WA,98021,1105856,5,2.75,Canyon Park,3228,10144,2017,69,343,92,Sold,,,http://www.redfin.com/WA/Bothell/212-239th-St-SW-98021/home/114104951,NWMLS,1137673,N,Y,47.7812223,-122.2361254
PAST SALE,November-9-2017,Single Family Residential,19021 84th Place NE,Bothell,WA,98011,959572,5,2.75,Bothell,3018,5524,2017,76,318,84,Sold,,,http://www.redfin.com/WA/Bothell/19021-84th-Pl-NE-98011/home/113178752,NWMLS,1154231,N,Y,47.7663375,-122.2278185
PAST SALE,January-19-2018,Single Family Residential,22710 1st Dr SE,Bothell,WA,98021,990000,3,2.75,Canyon Park,4602,18731,1976,5,215,,Sold,,,http://www.redfin.com/WA/Bothell/22710-1st-Dr-SE-98021/home/2772902,NWMLS,1199207,N,Y,47.7921181,-122.2310328
PAST SALE,November-1-2017,Single Family Residential,18220 42nd Dr SE,Bothell,WA,98012,703000,4,3.5,Bothell,2730,3920,2014,84,258,30,Sold,,,http://www.redfin.com/WA/Bothell/18220-42nd-Dr-SE-98012/home/58924459,NWMLS,1198479,N,Y,47.8321409,-122.1763908
